abscissa,cubes_field
0.0,6.984742666231594
0.17032093318993538,8.495058893813647
0.34064186637987076,8.52481146287123
0.5109627995698062,7.5062427032135375
0.6812837327597415,6.083517983225542
0.8516046659496769,4.387822845509675
1.0219255991396123,2.5737068936100265
1.1922465323295477,1.1250104326792452
1.362567465519483,0.9108243472797991
1.5328883987094184,1.4458361944548286
1.7032093318993538,1.7028764354893005
1.873530265089289,1.6903254750846473
2.0438511982792247,1.5649692643703146
2.21417213146916,1.5623848738497494
2.3844930646590954,2.4362173399478984
2.5548139978490307,4.540547076740067
2.725134931038966,6.984743041324048
2.8954558642289014,8.495059234260955
3.065776797418837,8.524811480698348
3.236097730608772,7.506242292903421
3.4064186637987075,6.083517381888522
3.576739596988643,4.387822351693911
3.747060530178578,2.5737066104131197
3.9173814633685136,1.1250103332164074
4.087702396558449,0.9108243916225798
4.258023329748385,1.445836276972985
4.42834426293832,1.7028765219976947
4.598665196128255,1.6903255334317475
4.768986129318191,1.5649692863797693
4.939307062508126,1.5623848852436997
5.1096279956980615,2.4362172865410603
5.279948928887997,4.540546851316499
5.450269862077932,6.984742666231594
5.6205907952678675,8.495058893813647
5.790911728457803,8.52481146287123
5.961232661647738,7.5062427032135375
6.131553594837674,6.083517983225542
6.301874528027609,4.387822845509675
6.472195461217544,2.5737068936100265
6.64251639440748,1.1250104326792452
6.812837327597415,0.9108243472797991
6.98315826078735,1.4458361944548286
7.153479193977286,1.7028764354893005
7.323800127167221,1.6903254750846473
7.494121060357156,1.5649692643703146
7.664441993547092,1.5623848738497494
7.834762926737027,2.4362173399478984
8.005083859926962,4.540547076740067
8.175404793116899,6.984743041324048
8.345725726306833,8.495059234260955
8.51604665949677,8.524811480698348
8.686367592686704,7.506242292903421
8.85668852587664,6.083517381888522
9.027009459066575,4.387822351693911
9.19733039225651,2.5737066104131197
9.367651325446445,1.1250103332164074
9.537972258636382,0.9108243916225798
9.708293191826316,1.445836276972985
9.878614125016252,1.7028765219976947
10.048935058206187,1.6903255334317475
10.219255991396123,1.5649692863797693
10.389576924586057,1.5623848852436997
10.559897857775994,2.4362172865410603
10.730218790965928,4.540546851316499
10.900539724155864,6.984742666231594
11.0708606573458,8.495058893813647
11.241181590535735,8.52481146287123
11.411502523725671,7.5062427032135375
11.581823456915606,6.083517983225542
11.752144390105542,4.387822845509675
11.922465323295476,2.5737068936100265
12.092786256485413,1.1250104326792452
12.263107189675347,0.9108243472797991
12.433428122865283,1.4458361944548286
12.603749056055218,1.7028764354893005
12.774069989245154,1.6903254750846473
12.944390922435089,1.5649692643703146
13.114711855625025,1.5623848738497494
13.28503278881496,2.4362173399478984
13.455353722004896,4.540547076740067
13.62567465519483,6.984743041324048
13.795995588384766,8.495059234260955
13.9663165215747,8.524811480698348
14.136637454764637,7.506242292903421
14.306958387954571,6.083517381888522
14.477279321144508,4.387822351693911
14.647600254334442,2.5737066104131197
14.817921187524378,1.1250103332164074
14.988242120714313,0.9108243916225798
15.158563053904249,1.445836276972985
15.328883987094184,1.7028765219976947
15.49920492028412,1.6903255334317475
15.669525853474054,1.5649692863797693
15.83984678666399,1.5623848852436997
16.010167719853925,2.4362172865410603
16.18048865304386,4.540546851316499
16.350809586233797,6.984742666231594
16.521130519423732,8.495058893813647
16.691451452613666,8.52481146287123
16.861772385803604,7.5062427032135375
17.03209331899354,6.083517983225542
17.202414252183473,4.387822845509675
17.372735185373408,2.5737068936100265
17.543056118563346,1.1250104326792452
17.71337705175328,0.9108243472797991
17.883697984943215,1.4458361944548286
18.05401891813315,1.7028764354893005
18.224339851323087,1.6903254750846473
18.39466078451302,1.5649692643703146
18.564981717702956,1.5623848738497494
