,Planar,Macroscopic
0,0.9129159580282135,-4.228984319332212
1,0.8901445758936385,-4.228984260582975
2,0.8285070086280472,-4.228983726500287
3,0.7299452903625071,-4.228982708281339
4,0.5866318699712469,-4.228981191282648
5,0.40596377674628537,-4.228979158030294
6,0.20030456050248374,-4.228976591905695
7,-0.02672675142603021,-4.2289734818956
8,-0.2710909818779723,-4.228969829206239
9,-0.5322064068042779,-4.228965647163097
10,-0.8219575330233514,-4.22896096725284
11,-1.150454502862847,-4.228955837608941
12,-1.5157905666313565,-4.2289503186981605
13,-1.9108962259296067,-4.228944483384619
14,-2.3249527317141463,-4.228938426760696
15,-2.764115559732345,-4.228932253430418
16,-3.2460924798822632,-4.228926082104657
17,-3.7729535420106215,-4.228920032737438
18,-4.333248708213627,-4.228914228851405
19,-4.909455680394209,-4.2289087827541945
20,-5.489569875690433,-4.228903802839152
21,-6.053559450545167,-4.228899376393154
22,-6.583027253380335,-4.228895575724683
23,-7.061916804671757,-4.228892448498863
24,-7.480795361410232,-4.228890028415406
25,-7.832183128716048,-4.228888328072655
26,-8.107006173649085,-4.228887357155233
27,-8.322254584981627,-4.228887114047438
28,-8.50490970402802,-4.228887598914367
29,-8.673975895346212,-4.228888796580638
30,-8.84289639412813,-4.228890688173306
31,-9.013652299132126,-4.228893235037857
32,-9.174206508756935,-4.228896392028173
33,-9.304020577572308,-4.2289000946040165
34,-9.383595056789819,-4.228904285413244
35,-9.40992912008356,-4.228908904191548
36,-9.383560599752432,-4.2289139152437
37,-9.303951183687296,-4.228919295163431
38,-9.174101318655973,-4.228925055845326
39,-9.01351019399641,-4.2289312237343735
40,-8.842716395059194,-4.228937856466502
41,-8.673757310779779,-4.228945015313025
42,-8.504652593446162,-4.22895277403538
43,-8.321959772607608,-4.22896118831716
44,-8.106675688050766,-4.228970309646727
45,-7.831820022290522,-4.228980154568843
46,-7.48040403286547,-4.228990724367084
47,-7.0615026656961195,-4.229001983753197
48,-6.582597054004163,-4.22901388306346
49,-6.053120682261748,-4.229026336589488
50,-5.489130996183666,-4.229039250940243
51,-4.909025260662197,-4.2290525071715415
52,-4.332835573332618,-4.229065991025353
53,-3.772565749616117,-4.229079571276648
54,-3.245737540877819,-4.229093135872087
55,-2.7637994398879147,-4.229106571335766
56,-2.3246804239639753,-4.229119799779881
57,-1.9106709724887179,-4.229132755868703
58,-1.5156146364144556,-4.2291454231087044
59,-1.150328925554177,-4.229157805776072
60,-0.8218831562469007,-4.229169962014432
61,-0.5321832139311904,-4.229181969296668
62,-0.2711188723447901,-4.229193955242224
63,-0.026804679778559957,-4.229206061194475
64,0.20017776569225512,-4.229218469854267
65,0.4057907292008001,-4.229231366895633
66,0.5864155265274761,-4.229244974033308
67,0.7296897801328999,-4.229259511512089
68,0.8282161654851301,-4.229275236678496
